index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
217,l_66,HVF,202644,215107,DVF,HVF,HPE,215108,215948,216465,215947,216464,219636
218,l_66,HVF,384539,399219,DVF,HVF,HPE,399220,400063,400563,400062,400562,414505
219,l_66,HVF,432286,448641,DVF,HVF,HPE,448642,449483,449780,449482,449779,466063
220,l_66,HVF,616633,628324,DVF,HVF,HPR,628325,629168,630017,629167,630016,670349
221,l_66,HVF,730138,743434,DVF,HVF,HPR,743435,744278,744602,744277,744601,758306
222,l_66,HVF,813211,864443,DVF,HVF,HPR,864444,865288,865841,865287,865840,866238
223,l_67,HVF,51768,62435,DVF,HVF,HAS,62436,63278,64119,63277,64118,66316
224,l_67,HVF,66317,74266,DVF,HVF,HPE,74267,75093,75724,75092,75723,98460
225,l_67,HVF,159324,196667,DVF,HVF,HAS,196668,197508,198240,197507,198239,226730
226,s_72,HVF,114,6907,DVF,HVF,HAS,6908,7748,8180,7747,8179,16545
227,s_73,HVF,18991,27541,DVF,HVF,HAS,27542,28384,28930,28383,28929,49493
228,s_73,HVF,266338,278381,DVF,HVF,HPR,278382,279224,279627,279223,279626,545737
229,s_75,HVF,517756,526966,DVF,HVF,HPE,526967,527807,528574,527806,528573,537515
230,s_75,HVF,591712,602777,DVF,HVF,HPE,602778,603617,604782,603616,604781,611457
231,s_76,HVF,166855,177189,DVF,HVF,HAS,177190,178034,178547,178033,178546,193268
232,s_76,HVF,323939,333798,DVF,HVF,HPR,333799,334639,334865,334638,334864,383512
233,s_78,HVF,158137,171066,DVF,HVF,HAS,171067,171897,173014,171896,173013,184691
234,s_78,HVF,252390,261977,DVF,HVF,HPR,261978,262822,264222,262821,264221,280838
235,s_78,HVF,411120,419620,DVF,HVF,HPR,419621,420462,421692,420461,421691,467012
236,s_78,HVF,487413,495893,DVF,HVF,HPE,495894,496737,497813,496736,497812,518091
237,s_79,HVF,704660,714675,DVF,HVF,HPE,714676,715506,716342,715505,716341,727426
238,s_79,HVF,763724,774594,DVF,HVF,HPE,774595,775436,776364,775435,776363,777949
239,s_79,HVF,902352,912404,DVF,HVF,HPE,912405,913246,914673,913245,914672,919521
240,s_80,HVT,230003,239619,DVT,HVT,HPE,239620,240448,241407,240447,241406,241784
241,s_81,HVF,289846,298840,DVF,HVF,HPE,298841,299669,300127,299668,300126,307053
242,s_81,HVF,346892,354448,DVF,HVF,HPR,354449,355289,356093,355288,356092,395867
243,s_81,HVF,395868,409538,DVF,HVF,HPE,409539,410379,410870,410378,410869,421013
244,s_81,HVF,746179,759071,DVF,HVF,HPE,759072,759899,760839,759898,760838,790634
245,s_81,HVF,790635,801699,DVF,HVF,HPR,801700,802544,803741,802543,803740,834818
246,s_81,HVF,919313,945268,DVF,HVF,HPE,945269,946109,947020,946108,947019,958130
247,s_81,HVF,994880,1009203,DVF,HVF,HPE,1009204,1010029,1010429,1010028,1010428,1020272
248,s_82,HVF,66,8092,DVF,HVF,HAS,8093,8935,10187,8934,10186,35363
249,s_82,HVF,104111,126970,DVF,HVF,HAS,126971,127810,128998,127809,128997,135857
250,s_82,HVF,182608,195691,DVF,HVF,HAS,195692,196535,197012,196534,197011,198862
251,s_82,HVF,230279,241259,DVF,HVF,HAS,241260,242100,242725,242099,242724,250549
252,s_82,HVF,264787,280002,DVF,HVF,HAS,280003,280830,281933,280829,281932,292598
253,s_82,HVF,330179,352864,DVF,HVF,HAS,352865,353705,354303,353704,354302,368157
